新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
169,里程490400,批量样本,490400,252,2.492773809523809,0.3032486922497223,0.1966833283080022,46.0%,批量样本
170,里程383400,批量样本,383400,247,2.248582995951417,0.1968223586077007,0.1988307945685352,22.8%,批量样本
171,里程830400,批量样本,830400,478,3.221692468619247,0.2475522171072836,0.2017469753177997,10.7%,批量样本
172,里程821400,批量样本,821400,456,3.304412280701755,0.3218045768708188,0.2024075756693939,42.5%,批量样本
173,里程608400,批量样本,608400,254,2.103673228346457,0.2757847722850542,0.2029192767951621,28.7%,批量样本
174,里程633400,批量样本,633400,252,2.152619047619048,0.24111850443622,0.2029526017999314,26.0%,批量样本
175,里程832400,批量样本,832400,489,3.474114519427403,0.3349691311533638,0.2032243304003592,22.3%,批量样本
176,里程836400,批量样本,836400,449,3.1683853006681515,0.2329279008955136,0.2045766131067529,12.3%,批量样本
177,里程650400,批量样本,650400,263,1.9858174904942965,0.2123909620525724,0.2048916776916821,22.4%,批量样本
178,里程687400,批量样本,687400,251,3.9454581673306777,0.2186451216995885,0.2062980231320014,11.4%,批量样本
179,里程515400,批量样本,515400,253,2.29102766798419,0.2722286970860331,0.2076414389204549,28.7%,批量样本
180,里程576400,批量样本,576400,252,2.2748412698412697,0.2549329546326713,0.2082963787000573,20.6%,批量样本
181,里程385400,批量样本,385400,248,3.0407782258064517,0.3274895232889839,0.2084005166029526,49.9%,批量样本
182,里程578400,批量样本,578400,249,2.2095983935742973,0.2019178194312245,0.2098106079755687,23.3%,批量样本
183,里程236400,批量样本,236400,250,1.9264,0.2375524461221869,0.2099476533450448,36.4%,批量样本
184,里程812400,批量样本,812400,489,3.026529652351738,0.3426116481302264,0.2109438100794657,44.8%,批量样本
185,里程1189400,批量样本,1189400,506,2.8557114624505924,0.6321473538481854,0.2132822257349894,54.9%,批量样本
186,里程522400,批量样本,522400,249,2.283172690763052,0.3246747353388116,0.2137390275784337,26.5%,批量样本
187,里程656400,批量样本,656400,262,2.096259541984733,0.2513026167328961,0.2140511605891974,31.3%,批量样本
188,里程745400,批量样本,745400,485,3.250185567010309,0.3536135108851394,0.2146803674514285,25.9%,批量样本
189,里程657400,批量样本,657400,265,2.2088830188679243,0.2643247928440766,0.2155109063265313,21.3%,批量样本
190,里程1037400,批量样本,1037400,509,2.7849705304518664,0.5847761543570662,0.2193593069850403,73.3%,批量样本
191,里程491400,批量样本,491400,251,2.003625498007968,0.2678955079639279,0.2193862964828337,17.6%,批量样本
192,里程646400,批量样本,646400,260,1.9524230769230768,0.2056290232878015,0.2194803362629274,14.6%,批量样本
193,里程822400,批量样本,822400,439,2.7898200455580864,0.3186720977723466,0.2197616054949679,15.0%,批量样本
194,里程69400,批量样本,69400,178,1.7962921348314609,0.1826971933488953,0.2210791423039211,10.3%,批量样本
195,里程659400,批量样本,659400,258,2.0526356589147285,0.2288952299025303,0.2215933739097162,10.2%,批量样本
196,里程38400,批量样本,38400,176,2.738806818181818,0.2433744843043115,0.2223180319067338,14.6%,批量样本
197,里程407400,批量样本,407400,247,2.197004048582996,0.2016858117226123,0.2225072134297236,29.2%,批量样本
198,里程1144400,批量样本,1144400,454,4.280277533039648,0.3207710530904307,0.2226973682290824,12.2%,批量样本
