tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
945400,489,3.425961145194274,1.1345538393883372,1.1,23.65,2012-12-12,2026-03-19,4845
946400,488,3.239502049180328,0.6626322532716578,1.2,6.99,2012-12-12,2026-03-19,4845
947400,489,3.3329529652351737,0.5643950335808586,1.0,6.271,2012-12-12,2026-03-19,4845
948400,488,3.2007049180327867,0.6768932374032799,1.4,5.427,2012-12-12,2026-03-19,4845
949400,489,3.2716237218813906,1.0058173912386315,1.07,11.385,2012-12-12,2026-03-19,4845
950400,486,3.3715740740740743,0.8044818359656266,1.1,12.004,2012-12-12,2026-03-19,4845
951400,488,3.0759487704918036,0.8743827247383534,0.94,9.635,2012-12-12,2026-03-19,4845
952400,488,3.2481803278688526,0.6068411463148099,1.25,5.31,2012-12-12,2026-03-19,4845
953400,487,3.3382731006160165,0.8566462416232735,1.28,11.279,2012-12-12,2026-03-19,4845
954400,485,3.625381443298969,0.8250338315539893,1.5,6.225,2012-12-12,2026-03-19,4845
955400,488,2.8342971311475407,0.5840662459895097,1.17,8.39,2012-12-12,2026-03-19,4845
956400,488,3.3475040983606554,1.077720962152277,1.3,21.821,2012-12-12,2026-03-19,4845
957400,487,3.0017597535934293,0.5973295595035703,1.3,6.56,2012-12-12,2026-03-19,4845
958400,488,2.753311475409836,0.4771697545448987,1.1,4.62,2012-12-12,2026-03-19,4845
959400,488,2.6344323770491807,0.5084115533037545,1.0,4.961,2012-12-12,2026-03-19,4845
960400,489,3.2091206543967274,0.5367244497904391,1.26,6.837,2012-12-12,2026-03-19,4845
961400,488,3.1863975409836067,0.8597666161490884,1.1,7.708,2012-12-12,2026-03-19,4845
962400,489,3.0088732106339466,0.759812323326228,1.04,6.87,2012-12-12,2026-03-19,4845
963400,489,2.6395378323108383,0.5480487846803,1.0,5.051,2012-12-12,2026-03-19,4845
964400,489,2.607730061349693,0.6884834432097635,0.96,11.1,2012-12-12,2026-03-19,4845
965400,489,3.1344989775051126,0.48513687068510125,1.6,5.949,2012-12-12,2026-03-19,4845
966400,489,2.8896850715746423,0.5310984740530136,1.1,6.213,2012-12-12,2026-03-19,4845
967400,489,3.0419775051124747,0.5412571484261905,1.0,6.374,2012-12-12,2026-03-19,4845
968400,489,3.0026666666666664,0.45147546514557724,1.3,4.664,2012-12-12,2026-03-19,4845
969400,489,2.651625766871166,0.4332024157633847,1.1,5.739,2012-12-12,2026-03-19,4845
970400,489,2.66119018404908,0.48994985380925665,1.0,6.87,2012-12-12,2026-03-19,4845
971400,489,2.638674846625767,0.42566750690613375,1.3,5.874,2012-12-12,2026-03-19,4845
972400,489,2.9243742331288343,0.8865372595280072,1.1,13.651,2012-12-12,2026-03-19,4845
973400,487,2.912174537987679,0.59000941640716,1.3,7.981,2012-12-12,2026-03-19,4845
974400,488,2.5234303278688524,0.45845634132569296,1.29,5.983,2012-12-12,2026-03-19,4845
975400,488,2.6010717213114756,0.5637825911116472,1.07,4.441,2012-12-12,2026-03-19,4845
976400,488,2.4221844262295082,0.3896658901651409,1.1,3.971,2012-12-12,2026-03-19,4845
977400,488,3.253622950819672,0.6088612601680036,1.1,4.91,2012-12-12,2026-03-19,4845
985400,467,3.3090663811563177,0.692210654356524,1.3,6.8,2012-12-12,2026-03-19,4845
986400,468,3.36440811965812,0.7551294981602465,1.3,7.89,2012-12-12,2026-03-19,4845
987400,485,2.9310144329896906,0.9091805920524326,1.1,19.91,2012-12-12,2026-03-19,4845
988400,484,2.6037169421487603,0.37885839803007926,1.1,4.79,2012-12-12,2026-03-19,4845
989400,485,2.929416494845361,0.5429204808143533,1.2,7.361,2012-12-12,2026-03-19,4845
990400,485,3.231843298969072,0.6343628222634788,1.1,4.97,2012-12-12,2026-03-19,4845
991400,484,2.815035123966942,0.5512456220450137,1.0,4.44,2012-12-12,2026-03-19,4845
992400,488,3.0129549180327873,0.7180794185544753,0.9,5.019,2012-12-12,2026-03-19,4845
993400,488,3.018969262295082,1.2028915287149022,0.8,16.787,2012-12-12,2026-03-19,4845
994400,487,2.9612731006160167,1.159224720238298,0.8,19.0,2012-12-12,2026-03-19,4845
995400,486,2.8338765432098767,1.6378450618366394,1.2,34.823,2012-12-12,2026-03-19,4845
996400,484,3.0217293388429747,1.4945992888568236,1.2,30.454,2012-12-12,2026-03-19,4845
997400,485,2.814849484536082,0.7601462968320924,1.2,11.413,2012-12-12,2026-03-19,4845
998400,484,2.887995867768595,0.8961553607632501,1.0,14.2,2012-12-12,2026-03-19,4845
