mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
949400.0,446,3.229773542600897,0.9544378310402961,1.07,5.383,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
950400.0,443,3.3298893905191878,0.7165035287717624,1.1,5.032,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
951400.0,445,3.034759550561798,0.8410365913024883,0.94,5.752,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
952400.0,446,3.2399147982062777,0.6051752662135989,1.5,5.31,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
953400.0,444,3.3083333333333336,0.7896138592069024,1.28,5.08,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
954400.0,444,3.584256756756757,0.8271304235360304,1.5,6.225,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
955400.0,445,2.8164426966292133,0.5318509998211245,1.17,5.025,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
956400.0,444,3.288448198198198,0.6617341841656363,1.3,4.989,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
957400.0,444,2.981795045045045,0.584921947580142,1.3,4.736,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
958400.0,445,2.745024719101124,0.47554506594848617,1.1,4.276,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
959400.0,445,2.6234516853932583,0.4981422067376083,1.0,4.318,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
960400.0,445,3.197748314606742,0.48654073515199414,1.26,4.57,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
961400.0,447,3.1706532438478745,0.8770500101463706,1.1,7.708,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
962400.0,447,2.998163310961969,0.7742906475620234,1.04,6.87,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
963400.0,447,2.6284876957494405,0.5576836054359438,1.0,5.051,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
964400.0,445,2.5678516853932583,0.5593947062787544,0.96,4.553,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
965400.0,445,3.1257258426966295,0.4462765286050833,1.6,4.07,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
966400.0,440,2.886656818181818,0.4635480999375191,1.5,3.99,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
967400.0,440,3.043411363636364,0.45460706842143167,1.88,4.15,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
968400.0,443,3.0147178329571105,0.4250986250461274,1.74,4.05,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
969400.0,445,2.6474247191011235,0.40459096998226945,1.1,3.8,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
970400.0,440,2.663027272727273,0.39856685080676374,1.46,3.7,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
971400.0,445,2.6255528089887643,0.3809275427335724,1.3,3.845,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
972400.0,445,2.8719505617977528,0.5939357180621476,1.1,5.279,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
973400.0,444,2.891662162162162,0.5401689713988871,1.3,5.93,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
