tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_trident_mae
967400,514,424,4618,3.2027382075471693,0.217918868917653,0.4148753315649864,0.1962365920608108,0.1553158392147249,0.1989316506659309,rolling_anchor,20.852763705458752,True,0.1553158392147249
255400,253,241,2613,1.867717842323652,0.1963844530217664,0.2819090909090911,0.2206082844096543,0.15584076586582,0.329818430728128,rolling_anchor,29.358606689296185,True,0.15584076586582
1191400,508,506,4845,2.2622055335968376,0.4733388350027852,0.4835833333333332,0.3624785905441571,0.1570318241830745,0.582940831704284,rolling_anchor,56.67831748425846,True,0.1570318241830745
929400,513,435,4819,2.909232183908046,0.2384569227993472,0.4399923076923073,0.2081042085174768,0.1572481612855747,0.1768293563832851,rolling_anchor,24.43777931940822,True,0.1572481612855747
678400,273,264,2627,1.8964772727272723,0.1821984864231619,0.2493650793650792,0.2242581521739132,0.1578379364385614,0.4060743819013112,rolling_anchor,29.617748604225813,True,0.1578379364385614
733400,514,484,4845,3.694729338842975,0.3198247564386346,0.5650180180180184,0.3026734214152544,0.1607234098710766,0.4034663560622024,rolling_anchor,46.8987368895628,True,0.1607234098710766
734400,513,482,4845,3.357321576763485,0.3076303744901389,0.4951768707482991,0.2470796889389132,0.1613507791459634,0.2465507993105936,rolling_anchor,34.69686648915321,True,0.1613507791459634
594400,259,241,2627,1.8942738589211616,0.1862849287752412,0.2635672514619882,0.1823972602739725,0.1904189144400985,0.1624088622664686,post_maintenance,10.958716143806138,True,0.1624088622664686
391400,258,248,2627,2.1056048387096777,0.2310993728646519,0.2075652173913043,0.2607899807321773,0.1767968280750626,0.162471397970659,post_maintenance,37.70029143201178,True,0.162471397970659
833400,440,400,4845,4.158815000000001,0.3100520625293383,0.3586641025641035,0.2548850000000002,0.1624793541136693,0.3986072296336597,rolling_anchor,36.25385796980236,True,0.1624793541136693
